date,amount,category,description
2025-05-01,3500,Salary,Monthly salary
2025-05-02,-80,Groceries,Supermarket
2025-05-03,-25,Transport,Bus pass
2025-05-04,-120,Restaurants,Dinner with friends
2025-05-05,-950,Rent,Monthly rent
2025-05-10,-60,Gas,Car fuel
2025-05-12,-45,Entertainment,Movies
2025-05-15,200,Income,Freelance gig
2025-05-17,-150,Groceries,Supermarket
2025-05-20,-40,Transport,Taxi
2025-05-22,-200,Entertainment,Concert tickets
2025-05-25,-100,Groceries,Farmers market
2025-05-28,-300,Other,New headphones